PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,PeriastronDeg,LongitudeDeg,AscendingNodeDeg,InclinationDeg,SurfaceTempK,AgeGyr,DiscoveryMethod,DiscoveryYear,LastUpdated,RightAscension,Declination,DistFromSunParsec,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,HostStarAgeGyr,ListsPlanetIsOn
Gliese 676 A d,2,0.014,,3.6,0.0413,0.15,,,,,,,RV,2012,12/12/05,17 30 11,-51 38 13,16.5,0.71,,0.23,,,"Confirmed planets, Planets in binary systems, S-type"
Gliese 676 A e,2,0.036,,35.37,0.187,0.24,,,,,,,RV,2012,12/12/05,17 30 11,-51 38 13,16.5,0.71,,0.23,,,"Confirmed planets, Planets in binary systems, S-type"
Gliese 676 A b,2,4.95,,1050.3,1.8,0.328,,,,,,,RV,2011,12/12/05,17 30 11,-51 38 13,16.5,0.71,,0.23,,,"Confirmed planets, Planets in binary systems, S-type"
Gliese 676 A c,2,3,,4400,5.2,0.2,,,,,,,RV,2011,,17 30 11,-51 38 13,16.5,0.71,,0.23,,,"Controversial, Planets in binary systems, S-type"
Kepler-722 b,0,,0.235,4.09357325,,,,,,,,,transit,2016,16/05/10,19 21 03,+44 33 23,,1.03,1.05,0.02,5863,,Confirmed planets
Kepler-722 c,0,,0.252,105.144749,,,,,,,,,transit,2016,16/05/10,19 21 03,+44 33 23,,1.03,1.05,0.02,5863,,Confirmed planets
Kepler-1488 b,0,,0.166,39.8189932,,,,,,,,,transit,2016,16/05/10,19 06 35,+49 56 16,,1.05,1.31,0.06,5820,,Confirmed planets
Kepler-1064 b,0,,0.138,16.54080322,,,,,,,,,transit,2016,16/05/10,19 26 58,+37 41 20,,0.85,0.79,0,5153,,Confirmed planets
Kepler-26 b,0,0.016097,0.26792,12.282972,,,,,,,,,transit,2014,16/01/13,18 59 45,+46 33 59,482.39,0.634,0.571,,4486,,Confirmed planets
Kepler-26 c,0,0.019492,0.26792,17.251204,,,,,,,,,transit,2014,16/01/13,18 59 45,+46 33 59,482.39,0.634,0.571,,4486,,Confirmed planets
Kepler-26 d,0,,0.09751,3.543919,,,,,,,,,transit,2014,14/02/26,18 59 45,+46 33 59,482.39,0.634,0.571,,4486,,Confirmed planets
Kepler-26 e,0,,0.21962,46.827915,,,,,,,,,transit,2014,14/02/26,18 59 45,+46 33 59,482.39,0.634,0.571,,4486,,Confirmed planets
HD 2039 b,0,4.9,,1183,2.2,0.67,,,,,188.3,,RV,2002,09/10/07,00 24 20,-56 39 00,89.8,0.98,1.21,0.1,5947,,Confirmed planets
Kepler-478 b,0,,0.242,13.2217576,,,,,,,,,transit,2016,16/05/10,19 29 57,+46 11 46,,0.85,0.8,-0.03,5210,,Confirmed planets
HD 59686 b,0,5.25,,303,0.911,,,,,,728.2,,RV,2003,11/01/03,07 31 48,+17 05 09,92,,11.62,,5150,,Confirmed planets
