PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,PeriastronDeg,LongitudeDeg,AscendingNodeDeg,InclinationDeg,SurfaceTempK,AgeGyr,DiscoveryMethod,DiscoveryYear,LastUpdated,RightAscension,Declination,DistFromSunParsec,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,HostStarAgeGyr,ListsPlanetIsOn
Kepler-113 c,0,,0.198664,8.92507,,,,,,,,,transit,2014,14/02/24,19 11 59,+50 56 39,255.9,0.75,0.69,0.05,4725,6.89,Confirmed planets
Kepler-113 b,0,0.036805,0.165857,4.754,,,,,,,,,transit,2014,14/02/24,19 11 59,+50 56 39,255.9,0.75,0.69,0.05,4725,6.89,Confirmed planets
Kepler-454 b,0,0.02152,0.2114,10.57375339,0.0954,0,,,,87.09,,,transit,2015,16/01/09,19 09 54.841,+38 13 43.95,200,1.028,1.066,0.27,5687,5.23,Confirmed planets
Kepler-454 c,0,4.46,,523.9,1.286,0.0214,337.4,,,,,,RV,2015,16/01/09,19 09 54.841,+38 13 43.95,200,1.028,1.066,0.27,5687,5.23,Confirmed planets
Kepler-454 d,0,,,,,,,,,,,,RV,2015,16/01/09,19 09 54.841,+38 13 43.95,200,1.028,1.066,0.27,5687,5.23,Controversial
KOI-285 b,0,,0.326,13.748933,0.118,0.17,,,,,934,,transit,2013,15/06/09,19 16 21,+41 33 47,367.56,1.209,1.719,,5883,5.2,Confirmed planets
KOI-285 c,0,,0.219,26.72311,0.184,0.04,,,,,748,,transit,2013,15/06/09,19 16 21,+41 33 47,367.56,1.209,1.719,,5883,5.2,Confirmed planets
KOI-285 d,0,,0.1844,49.3568,0.278,0.07,,,,,608,,transit,2014,15/06/09,19 16 21,+41 33 47,367.56,1.209,1.719,,5883,5.2,Confirmed planets
HD 13189 b,0,14,,471.6,1.85,0.27,,,,,442.7,,RV,2005,10/12/29,02 09 40,+32 18 59,185,4.5,50.39,,5150,,Confirmed planets
HAT-P-27 b,0,0.62,1.02,3.039577,0.04,0,,,,85,1102.7,,transit,2011,13/05/29,14 51 04,+05 56 50,204,0.92,0.87,0.14,5300,3.6,Confirmed planets
Kepler-405 c,0,,0.42467,29.726682,,,,,,,,,transit,2014,14/02/26,19 25 38,+38 20 24,1513.02,1.02,0.893,,5818,,Confirmed planets
Kepler-405 b,0,,0.18955,10.613839,,,,,,,,,transit,2014,14/02/26,19 25 38,+38 20 24,1513.02,1.02,0.893,,5818,,Confirmed planets
Kepler-1068 b,0,,0.324,16.92344113,,,,,,,,,transit,2016,16/05/10,19 38 36,+46 23 33,,1.01,1.01,0.03,5806,,Confirmed planets
Kepler-29 b,0,0.014184,0.328069,10.33,0.09,,,,,,,,transit,2012,16/01/13,19 53 23,+47 29 28,1246,1,0.96,,5750,,Confirmed planets
Kepler-29 c,0,0.012579,0.26427,13.2907,0.11,,,,,,,,transit,2012,16/01/13,19 53 23,+47 29 28,1246,1,0.96,,5750,,Confirmed planets
KOI-372 b,0,3.25,0.882,125.63243,0.4937,0.172,791,,,89.845,,,transit,2015,15/05/03,19 56 29.39,+41 52 00.3,,1.014,1.122,-0.01,5820,1,Confirmed planets
KOI-372 c,0,0.3194,,463.44,,0.1701,178.88,,,91.78,,,timing,2015,15/05/03,19 56 29.39,+41 52 00.3,,1.014,1.122,-0.01,5820,1,Confirmed planets
WASP-100 b,0,2.03,1.69,2.849375,0.0457,,,,,82.6,2190,,transit,2013,13/10/22,04 35 50,-64 01 37,,1.57,2,-0.03,6900,,Confirmed planets
Kepler-21 b,2,,0.1456,2.785755,0.042509,,,,,82.59,,,transit,2011,16/01/22,19 09 26.83535,+38 42 50.4593,112.9,1.34,1.86,-0.15,6131,,"Confirmed planets, Planets in binary systems, S-type"
HAT-P-52 b,0,0.818,1.009,2.7535953,0.03694,,,,,87.02,1218,,transit,2015,15/03/13,02 50 53.20,+29 01 20.6,385,0.887,0.893,0.28,5131,9.4,Confirmed planets
Kepler-1573 b,0,,0.107,2.6157554,,,,,,,,,transit,2016,16/05/10,19 31 57,+49 29 06,,1.01,1,0.02,5808,,Confirmed planets
FU Tau B,0,15,,,,,,,,,2375,,imaging,2009,11/09/19,04 23 35.386,+25 03 03.05,140,0.05,,,2838,,Confirmed planets
Kepler-1009 b,0,,0.194,11.35011917,,,,,,,,,transit,2016,16/05/10,18 51 26,+42 39 57,,0.59,0.57,-0.12,4027,,Confirmed planets
Kepler-403 b,0,,0.11391,7.031462,,,,,,,,,transit,2014,14/02/26,19 19 41,+46 44 40,605.63,,1.329,,6090,,Confirmed planets
Kepler-403 c,0,,0.15948,54.280749,,,,,,,,,transit,2014,14/02/26,19 19 41,+46 44 40,605.63,,1.329,,6090,,Confirmed planets
Kepler-403 d,0,,0.127,13.61159129,,,,,,,,,transit,2016,16/05/10,19 19 41,+46 44 40,605.63,,1.329,,6090,,Confirmed planets
Kepler-986 b,0,,0.211,56.4349938,,,,,,,,,transit,2016,16/05/10,19 32 23,+42 53 47,,0.96,0.98,0.04,5642,,Confirmed planets
Kepler-1435 b,0,,0.077,4.45343281,,,,,,,,,transit,2016,16/05/10,19 24 42,+44 55 16,,1.21,1.32,-0.03,6356,,Confirmed planets
Kepler-1283 b,0,,0.17,12.9460978,,,,,,,,,transit,2016,16/05/10,19 41 51,+40 46 37,,1.16,1.25,0.04,6175,,Confirmed planets
Kepler-1211 b,0,,0.227,11.01816836,,,,,,,,,transit,2016,16/05/10,19 02 53,+40 51 25,,0.96,0.94,-0.08,5705,,Confirmed planets
Kepler-1113 b,0,,0.251,42.3004954,,,,,,,,,transit,2016,16/05/10,19 17 38,+39 20 20,,1.12,1.17,0.18,5931,,Confirmed planets
Kepler-389 b,0,,0.13761,3.244107,,,,,,,,,transit,2014,14/02/26,19 27 50,+44 54 00,1101.76,,0.792,,5376,,Confirmed planets
Kepler-389 c,0,,0.13305,14.51143,,,,,,,,,transit,2014,14/02/26,19 27 50,+44 54 00,1101.76,,0.792,,5376,,Confirmed planets
Kepler-1644 b,0,,0.168,21.0907758,,,,,,,,,transit,2016,16/05/10,19 01 54,+48 02 06,,0.89,0.86,-0.1,5499,,Confirmed planets
ROXs 42 B b,1,10,,,,,,,,,,,imaging,2013,13/12/02,16 31 15,-24 32 24,120,,,,,,"Confirmed planets, Planets in binary systems, P-type"
Kepler-802 b,0,,0.316,40.0587473,,,,,,,,,transit,2016,16/05/10,19 04 04,+45 00 28,,0.93,0.9,0.06,5507,,Confirmed planets
HD 73534 b,0,1.15,,1800,3.15,0.046,,,,,200.2,,RV,2009,09/08/13,08 39 16,+12 57 37,96.99,1.29,2.65,0.16,4952,,Confirmed planets
Kepler-1246 b,0,,0.121,11.32271513,,,,,,,,,transit,2016,16/05/10,19 10 38,+48 58 56,,0.73,0.69,-0.03,4611,,Confirmed planets
HD 178911 B b,2,6.292,,71.487,0.32,0.1243,,,,,469.8,,RV,2001,12/12/07,19 09 03,+34 35 59,46.73,1.07,1.14,0.28,5650,,"Confirmed planets, Planets in binary systems, S-type"
Kepler-476 b,0,,0.275,14.00640607,,,,,,,,,transit,2016,16/05/10,19 40 39,+43 57 47,,1.03,1.09,0.04,5837,,Confirmed planets
Kepler-1354 b,0,,0.265,76.613377,,,,,,,,,transit,2016,16/05/10,19 24 59,+37 45 33,,1.16,1.24,0.03,6168,,Confirmed planets
HD 65216 b,0,1.21,,613.1,1.37,0.41,,,,,193.9,,RV,2003,10/12/30,07 53 41,-63 38 50,34.3,0.92,,-0.12,5666,,Confirmed planets
HD 65216 c,0,2.24,,5542,,0.15,,,,,,,RV,2011,11/09/13,07 53 41,-63 38 50,34.3,0.92,,-0.12,5666,,Confirmed planets
HAT-P-42 b,0,0.975,1.277,4.641876,0.0575,0,,,,85.9,1427,,transit,2013,13/05/29,09 01 22,+06 05 50,447,1.179,1.528,0.27,5743,5.1,Confirmed planets
Kepler-1590 b,0,,0.102,7.61760804,,,,,,,,,transit,2016,16/05/10,19 25 38,+48 01 04,,1.11,1.16,0.03,6053,,Confirmed planets
Kepler-1268 b,0,,0.181,40.9903986,,,,,,,,,transit,2016,16/05/10,19 11 21,+43 09 12,,1.06,1.09,0.05,5904,,Confirmed planets
DP Leo b,1,6.05,,10230,8.19,0.39,,,,,,,timing,2009,10/11/18,11 17 16,+17 57 41,400,,,,,,"Confirmed planets, Planets in binary systems, P-type"
HD 216435 b,0,1.26,,1311,2.56,0.07,,,,,224.7,,RV,2002,09/10/06,22 53 37,-48 35 53,33.3,1.3,2,0.244,5767,,Confirmed planets
Kepler-667 b,0,,0.422,41.43962808,,,,,,,,,transit,2016,16/05/10,19 42 13,+49 01 02,,0.91,0.87,0.15,5327,,Confirmed planets
Kepler-1419 b,0,,0.255,42.5215895,,,,,,,,,transit,2016,16/05/10,19 29 01,+37 58 17,,1.01,1.01,0.04,5796,,Confirmed planets
CoRoT-16 b,0,0.53,1.17,5.35227,0.0618,0.33,,,,85.01,1085.5,,transit,2010,11/06/14,18 34 06,-06 00 09,840,1.098,1.19,0.19,5650,,Confirmed planets
Kepler-252 c,0,,0.19593,10.848463,,,,,,,,,transit,2014,14/02/26,19 42 19,+44 32 45,337.11,0.61,0.549,,4208,,Confirmed planets
Kepler-252 b,0,,0.11209,6.668391,,,,,,,,,transit,2014,14/02/26,19 42 19,+44 32 45,337.11,0.61,0.549,,4208,,Confirmed planets
Kepler-1152 b,0,,0.078,1.64680191,,,,,,,,,transit,2016,16/05/10,19 21 44,+44 06 28,,0.55,0.53,-0.25,3964,,Confirmed planets
Kepler-851 b,0,,0.15,8.50699658,,,,,,,,,transit,2016,16/05/10,19 38 43,+49 08 25,,0.89,0.85,-0.07,5455,,Confirmed planets
HD 11964 A b,2,0.622,,1945,3.16,0.041,,,,,,,RV,2005,12/12/08,01 57 09,-10 14 32,33.98,1.125,2.18,0.17,,13.1,"Confirmed planets, Planets in binary systems, S-type"
HD 11964 A c,2,0.079,,37.91,0.229,0.3,,,,,,,RV,2005,12/12/08,01 57 09,-10 14 32,33.98,1.125,2.18,0.17,,13.1,"Confirmed planets, Planets in binary systems, S-type"
Kepler-908 b,0,,0.109,1.34059747,,,,,,,,,transit,2016,16/05/10,19 41 17,+39 22 35,,1.11,1.12,0.15,5973,,Confirmed planets
Kepler-608 b,0,,0.325,6.41251504,,,,,,,,,transit,2016,16/05/10,19 35 32,+44 38 17,,1,1.01,-0.02,5820,,Confirmed planets
Kepler-768 b,0,,0.16,11.3910025,,,,,,,,,transit,2016,16/05/10,19 36 28,+38 23 37,,0.82,0.78,-0.03,5108,,Confirmed planets
Kepler-950 b,0,,0.801,98.7180406,,,,,,,,,transit,2016,16/05/10,19 11 50,+41 07 49,,1.02,1.02,0.02,5857,,Confirmed planets
Kepler-1611 b,0,,0.072,5.1762429,,,,,,,,,transit,2016,16/05/10,19 46 03,+49 43 40,,0.94,0.93,0.01,5605,,Confirmed planets
Kepler-909 b,0,,0.131,13.93290318,,,,,,,,,transit,2016,16/05/10,19 18 02,+45 22 16,,1.17,1.23,0.08,6154,,Confirmed planets
WASP-50 b,0,1.47,1.15,1.955096,0.02945,0.009,,,,84.74,1289.9,,transit,2011,11/08/15,02 54 45,-10 53 53,230,0.89,0.84,-0.12,5400,,Confirmed planets
WASP-102 b,0,0.624,1.259,2.709813,0.0401,,,,,89.73,,,transit,2016,16/08/16,22 25 51,+15 51 24,,1.167,1.331,0.09,5940,0.6,Confirmed planets
Kepler-1207 b,0,,0.145,13.68237119,,,,,,,,,transit,2016,16/05/10,19 40 15,+49 21 32,,1.06,1.06,0.05,5909,,Confirmed planets
Kepler-331 b,0,,0.16586,8.457496,,,,,,,,,transit,2014,14/02/26,19 27 20,+39 18 26,466.86,0.653,0.492,,4347,,Confirmed planets
Kepler-331 c,0,,0.16768,17.28111,,,,,,,,,transit,2014,14/02/26,19 27 20,+39 18 26,466.86,0.653,0.492,,4347,,Confirmed planets
Kepler-331 d,0,,0.14945,32.134328,,,,,,,,,transit,2014,14/02/26,19 27 20,+39 18 26,466.86,0.653,0.492,,4347,,Confirmed planets
Kepler-556 b,0,,0.2,11.72292176,,,,,,,,,transit,2016,16/05/10,19 22 07,+38 56 34,,1,0.98,0.03,5740,,Confirmed planets
Kepler-508 b,0,,0.146,25.30889748,,,,,,,,,transit,2016,16/05/10,19 41 37,+42 58 53,,1.16,1.25,0.18,6025,,Confirmed planets
HD 209458 b,0,0.714,1.38,3.52474859,0.04747,0.0004,,,,86.59,1316.1,,transit,1999,14/04/18,22 03 10,+18 53 04,47,1.148,1.146,0.02,6075,4,Confirmed planets
KOI-135 b,0,3.23,1.22,3.02409309,0.0444,0.017,52,,,84.57,,,transit,2011,15/12/03,19 00 58,+46 40 06,1950,1.27,1.38,0.4,6050,2.3,Confirmed planets
Kepler-515 b,0,,0.13,19.96371318,,,,,,,,,transit,2016,16/05/10,19 21 59,+52 03 20,,0.9,0.83,0.08,5293,,Confirmed planets
WASP-72 b,0,1.41,1.01,2.21672,0.03655,0,,,,86.8,2210,,transit,2012,12/10/17,02 44 09,-30 10 08,340,1.23,1.37,-0.06,6250,,Confirmed planets
Kepler-1077 b,0,,0.247,34.3511874,,,,,,,,,transit,2016,16/05/10,19 24 08,+42 16 04,,1.02,1.02,0.03,5816,,Confirmed planets
Kepler-840 b,0,,1.523,2.49577962,,,,,,,,,transit,2016,16/05/10,19 46 02,+49 27 26,,1.04,1.06,0,5920,,Confirmed planets
Kepler-1529 b,0,,0.187,5.33905686,,,,,,,,,transit,2016,16/05/10,19 19 29,+41 02 27,,0.81,0.77,-0.03,5048,,Confirmed planets
Gamma Leonis b,2,8.78,,428.5,1.19,0.144,206.7,,157.4,172.1,,,RV,2009,15/09/22,10 19 58.427,+19 50 28.53,38.5,1.23,31.88,-0.51,4330,,"Confirmed planets, Planets in binary systems, S-type"
Kepler-742 b,0,,0.289,8.36086824,,,,,,,,,transit,2016,16/05/10,18 55 28,+46 47 23,,0.76,0.71,0.07,4642,,Confirmed planets
HD 27894 b,0,0.62,,17.991,0.122,0.049,,,,,548.8,,RV,2005,10/12/25,04 20 47,-59 24 39,42.37,0.8,,0.3,4875,,Confirmed planets
Kepler-381 c,0,,0.10207,13.391635,,,,,,,,,transit,2014,14/02/26,19 00 43,+43 49 51,243.23,1.378,1.568,,6152,,Confirmed planets
Kepler-381 b,0,,0.09022,5.629021,,,,,,,,,transit,2014,14/02/26,19 00 43,+43 49 51,243.23,1.378,1.568,,6152,,Confirmed planets
HD 129445 b,0,1.6,,1840,2.9,0.7,,,,,151.1,,RV,2010,10/01/26,14 46 03,-68 45 45,67.61,0.99,,0.25,5940,,Confirmed planets
Kepler-208 b,0,,0.14854,4.22864,,,,,,,,,transit,2014,14/02/26,19 35 33,+42 31 40,925.47,0.963,1.314,,6092,,Confirmed planets
Kepler-208 c,0,,0.12667,7.466623,,,,,,,,,transit,2014,14/02/26,19 35 33,+42 31 40,925.47,0.963,1.314,,6092,,Confirmed planets
Kepler-208 e,0,,0.13487,16.259458,,,,,,,,,transit,2014,14/02/26,19 35 33,+42 31 40,925.47,0.963,1.314,,6092,,Confirmed planets
Kepler-208 d,0,,0.10936,11.131786,,,,,,,,,transit,2014,14/02/26,19 35 33,+42 31 40,925.47,0.963,1.314,,6092,,Confirmed planets
Kepler-1101 b,0,,0.22,81.3151059,,,,,,,,,transit,2016,16/05/10,19 38 17,+45 40 17,,0.94,0.91,-0.04,5614,,Confirmed planets
EPIC 201393098 b,0,,0.246,28.67992,0.1814,,,,,,651,,transit,2015,15/07/07,11 08 22.505,-01 03 56.72,433,0.97,0.96,-0.07,5772,,Confirmed planets
Kepler-513 b,0,,0.196,28.86235584,,,,,,,,,transit,2016,16/05/10,19 00 10,+50 04 31,,1.02,1.06,-0.01,5849,,Confirmed planets
Kepler-1242 b,0,,0.202,13.62798432,,,,,,,,,transit,2016,16/05/10,18 58 25,+41 11 47,,0.77,0.74,-0.05,4895,,Confirmed planets
Kepler-957 b,0,,0.491,5.90741354,,,,,,,,,transit,2016,16/05/10,19 20 38,+48 49 08,,0.81,0.75,-0.01,4963,,Confirmed planets
HD 33283 b,0,0.33,,18.179,0.168,0.48,,,,,695.7,,RV,2006,06/04/18,05 08 01,-26 47 50,86,1.24,1.2,0.366,5995,,Confirmed planets
Kepler-1244 b,0,,0.12,3.70428172,,,,,,,,,transit,2016,16/05/10,18 49 12,+46 30 58,,1.46,1.77,0.05,6680,,Confirmed planets
Kepler-114 c,0,,0.1367,8.041348,,,,,,,,,transit,2014,14/02/26,19 36 29,+48 20 58,267.07,0.709,0.667,,4605,,Confirmed planets
Kepler-114 b,0,,0.11482,5.188549,,,,,,,,,transit,2014,14/02/26,19 36 29,+48 20 58,267.07,0.709,0.667,,4605,,Confirmed planets
Kepler-114 d,0,,0.22054,11.776134,,,,,,,,,transit,2014,14/02/26,19 36 29,+48 20 58,267.07,0.709,0.667,,4605,,Confirmed planets
Kepler-598 b,0,,0.134,3.70175428,,,,,,,,,transit,2016,16/05/10,19 32 30,+40 56 05,,0.87,0.86,0.02,5307,,Confirmed planets
Kepler-808 b,0,,0.13,0.63133235,,,,,,,,,transit,2016,16/05/10,19 26 23,+48 26 44,,0.76,0.71,0.05,4653,,Confirmed planets
Kepler-85 b,0,,0.16768,8.305738,,,,,,,,,transit,2014,14/02/26,19 23 53,+45 17 25,804.74,0.941,0.893,,5436,,Confirmed planets
Kepler-85 c,0,,0.20778,12.512598,,,,,,,,,transit,2014,14/02/26,19 23 53,+45 17 25,804.74,0.941,0.893,,5436,,Confirmed planets
Kepler-85 d,0,,0.10936,17.91323,,,,,,,,,transit,2014,14/02/26,19 23 53,+45 17 25,804.74,0.941,0.893,,5436,,Confirmed planets
Kepler-85 e,0,,0.11574,25.216751,,,,,,,,,transit,2014,14/02/26,19 23 53,+45 17 25,804.74,0.941,0.893,,5436,,Confirmed planets
Kepler-1320 b,0,,0.152,0.86838653,,,,,,,,,transit,2016,16/05/10,19 13 44,+40 22 51,,0.8,0.74,0.1,4817,,Confirmed planets
Kepler-856 b,0,,0.83,8.02768059,,,,,,,,,transit,2016,16/05/10,19 18 25,+46 18 54,,0.96,0.93,0.12,5535,,Confirmed planets
WASP-91 b,0,1.34,1.03,1.798581,0.037,0,,,,86.8,,,,2017,17/01/17,23 51 23,-70 50 50,,0.84,0.86,0.19,4920,,Confirmed planets
Kepler-713 b,0,,0.221,7.411141,,,,,,,,,transit,2016,16/05/10,19 42 36,+43 01 47,,0.98,0.99,-0.03,5785,,Confirmed planets
Kepler-256 c,0,,0.19593,3.38802,,,,,,,,,transit,2014,14/02/26,19 30 19,+46 05 50,1394.65,1,1.301,,5551,,Confirmed planets
Kepler-256 d,0,,0.226,5.839172,,,,,,,,,transit,2014,14/02/26,19 30 19,+46 05 50,1394.65,1,1.301,,5551,,Confirmed planets
Kepler-256 b,0,,0.1449,1.620493,,,,,,,,,transit,2014,14/02/26,19 30 19,+46 05 50,1394.65,1,1.301,,5551,,Confirmed planets
Kepler-256 e,0,,0.21416,10.681572,,,,,,,,,transit,2014,14/02/26,19 30 19,+46 05 50,1394.65,1,1.301,,5551,,Confirmed planets
HD 30669 b,0,0.47,,1684,2.69,0.18,82,,,,,,RV,2014,15/11/21,04 48 28.48561,-28 25 09.4699,57.1,0.92,0.91,0.13,5400,4.8,Confirmed planets
Gliese 221 b,0,0.13,,125.06,0.448,,118,131,,,,,RV,2013,13/05/13,05 53 00,-05 59 41,20,0.637,,-0.07,4040,3,Confirmed planets
Gliese 221 c,0,0.0196,,3.8731,0.044,,94,,,,,,RV,2013,13/05/13,05 53 00,-05 59 41,20,0.637,,-0.07,4040,3,Confirmed planets
HD 181720 b,0,0.37,,956,1.78,0.26,,,,1,225,,RV,2009,11/01/11,19 22 53,-32 55 09,56,0.92,,-0.53,5781,,Confirmed planets
Kepler-613 b,0,,0.204,15.77979614,,,,,,,,,transit,2016,16/05/10,18 51 09,+46 14 42,,0.98,0.96,-0.01,5723,,Confirmed planets
Kepler-1486 b,0,,0.207,54.6495759,,,,,,,,,transit,2016,16/05/10,19 22 22,+45 26 23,,1.08,1.12,0.06,5965,,Confirmed planets
HD 16417 b,0,0.069,,17.24,0.14,0.2,,,,,875.5,,RV,2009,09/02/25,02 36 59,-34 34 41,25.5,1.18,,0.19,5936,,Confirmed planets
Kepler-267 b,0,,0.18044,3.353728,,,,,,,,,transit,2014,14/02/26,19 59 19,+47 09 26,415.67,0.552,0.555,,4258,,Confirmed planets
Kepler-267 c,0,,0.19411,6.87745,,,,,,,,,transit,2014,14/02/26,19 59 19,+47 09 26,415.67,0.552,0.555,,4258,,Confirmed planets
Kepler-267 d,0,,0.20687,28.464515,,,,,,,,,transit,2014,14/02/26,19 59 19,+47 09 26,415.67,0.552,0.555,,4258,,Confirmed planets
Kepler-1442 b,0,,0.351,81.4162941,,,,,,,,,transit,2016,16/05/10,19 25 01,+48 50 49,,1.34,1.44,0.26,6394,,Confirmed planets
HD 69830 b,0,0.033,,8.667,0.0785,0.1,,,,13,801.2,,RV,2006,12/01/31,08 18 23,-12 37 55,12.6,0.86,0.895,-0.05,5385,,Confirmed planets
HD 69830 c,0,0.038,,31.56,0.186,0.13,,,,13,520.3,,RV,2006,10/10/19,08 18 23,-12 37 55,12.6,0.86,0.895,-0.05,5385,,Confirmed planets
HD 69830 d,0,0.058,,197,0.63,0.07,,,,13,282.9,,RV,2006,10/10/19,08 18 23,-12 37 55,12.6,0.86,0.895,-0.05,5385,,Confirmed planets
WASP-12 b,2,1.404,1.736,1.0914222,0.02293,0,,,,86,2319.7,,transit,2008,13/07/31,06 30 33,+29 40 20,250,1.35,1.599,0.3,6118,,"Confirmed planets, Planets in binary systems, S-type"
HD 23596 b,0,8.1,,1565,2.88,0.292,,,,,220,,RV,2002,10/12/30,03 48 00,+40 31 50,52,1.27,2.09,0.32,5888,,Confirmed planets
Kepler-954 b,0,,0.207,16.78176602,,,,,,,,,transit,2016,16/05/10,19 43 26,+47 56 22,,0.82,0.76,0.02,4990,,Confirmed planets
Kepler-634 b,0,,0.169,5.16950177,,,,,,,,,transit,2016,16/05/10,19 24 47,+40 42 10,,1.03,1.24,-0.18,6075,,Confirmed planets
OGLE-TR-132 b,0,1.17,1.227,1.689868,0.03,0,,,,83.4,1812,,transit,2004,10/12/16,10 50 34,-61 57 25,1500,1.19,1.35,0.37,6210,,Confirmed planets
Kepler-669 b,0,,0.431,4.12554687,,,,,,,,,transit,2016,16/05/10,19 27 45,+49 15 14,,1.15,1.2,0.14,6038,,Confirmed planets
Gliese 433 b,0,0.0167,,7.3697,0.06,0.05,,,,,416.2,,RV,2009,14/03/31,11 35 27,-32 32 24,9.04,0.48,,-0.22,3600,,Confirmed planets
Gliese 433 c,0,0.1416,,3400,3.6,0.08,,,,,,,RV,2012,14/03/18,11 35 27,-32 32 24,9.04,0.48,,-0.22,3600,,Controversial
Kepler-690 b,0,,0.531,7.74809437,,,,,,,,,transit,2016,16/05/10,19 37 58,+39 46 17,,1.11,1.16,0.19,5913,,Confirmed planets
Kepler-380 b,0,,0.10845,3.930821,,,,,,,,,transit,2014,14/02/26,18 49 34,+48 45 32,811.74,1.11,1.224,,6045,,Confirmed planets
Kepler-380 c,0,,0.11574,7.630004,,,,,,,,,transit,2014,14/02/26,18 49 34,+48 45 32,811.74,1.11,1.224,,6045,,Confirmed planets
HD 67087 b,0,3.06,,352.2,1.08,0.17,,,,,,,RV,2015,15/03/26,08 07 39.75457,+31 33 04.7381,88.8,1.36,1.55,0.25,6330,1.45,Confirmed planets
HD 67087 c,0,4.85,,2374,3.86,0.76,,,,,,,RV,2015,15/03/26,08 07 39.75457,+31 33 04.7381,88.8,1.36,1.55,0.25,6330,1.45,Confirmed planets
Kepler-1104 b,0,,0.11,5.03728015,,,,,,,,,transit,2016,16/05/10,19 37 52,+49 19 52,,1.3,1.41,0.13,6417,,Confirmed planets
Kepler-919 b,0,,0.201,11.04603384,,,,,,,,,transit,2016,16/05/10,19 52 28,+48 29 40,,1.15,1.21,0.07,6113,,Confirmed planets
WASP-84 b,0,0.7,0.975,8.5234865,0.0775,0.018,,,,88.275,832,,transit,2013,14/09/22,08 44 26,+01 51 36,125,0.854,0.768,0.09,5280,1,Confirmed planets
Kepler-98 b,0,0.011167,0.181349,1.54168,,,,,,,,,transit,2014,14/02/24,19 02 39,+37 57 52,437.2,0.99,1.11,0.18,5539,2.79,Confirmed planets
Kepler-901 b,0,,0.122,3.51749439,,,,,,,,,transit,2016,16/05/10,19 24 37,+40 53 15,,0.59,0.57,-0.3,4184,,Confirmed planets
HD 43691 b,0,2.49,,36.96,0.24,0.14,,,,,762.5,,RV,2007,07/11/27,06 19 35,+41 05 32,93.2,1.38,,0.28,6200,,Confirmed planets
WASP-104 b,0,1.272,1.137,1.7554137,0.02918,,,,,83.63,1516,,transit,2014,14/08/06,10 42 24,+07 26 06,143,1.076,0.963,0.32,5475,3,Confirmed planets
HD 46375 A b,2,0.249,,3.024,0.041,0.04,,,,,1132,,RV,2000,12/12/04,06 33 12,+05 27 46,33.4,0.91,1,0.24,5199,,"Confirmed planets, Planets in binary systems, S-type"
Kepler-171 b,0,,0.21324,4.166972,,,,,,,,,transit,2014,14/02/26,19 47 05,+41 45 19,854.42,0.931,0.839,,5642,,Confirmed planets
Kepler-171 c,0,,0.23329,11.463462,,,,,,,,,transit,2014,14/02/26,19 47 05,+41 45 19,854.42,0.931,0.839,,5642,,Confirmed planets
Kepler-171 d,0,,0.17224,39.595519,,,,,,,,,transit,2014,14/02/26,19 47 05,+41 45 19,854.42,0.931,0.839,,5642,,Confirmed planets
Kepler-1307 b,0,,0.22,18.01621096,,,,,,,,,transit,2016,16/05/10,19 31 29,+46 44 31,,1.06,1.08,0.06,5884,,Confirmed planets
HD 147018 b,0,2.12,,44.236,0.2388,0.4686,,,,,481.2,,RV,2009,09/08/12,16 23 00,-61 41 20,42.96,0.927,,0.1,5441,,Confirmed planets
HD 147018 c,0,6.56,,1008,1.922,0.133,,,,,171.9,,RV,2009,09/08/12,16 23 00,-61 41 20,42.96,0.927,,0.1,5441,,Confirmed planets
EPIC 204129699 b,0,1.774,,1.25785,0.022,0,,,,,,,transit,2015,15/11/15,16 21 48.801,-23 32 52.32,,0.91,0.78,0.08,5280,,Confirmed planets
CoRoT-20 b,0,4.24,0.84,9.2,0.0902,0.562,,,,88.21,1002,,transit,2011,11/06/14,06 30 53,+00 13 37,1230,1.14,1.02,0.14,5880,0.1,Confirmed planets
Kepler-1519 b,0,,0.63,240.7989397,,,,,,,,,transit,2016,16/05/10,19 46 40,+49 27 43,,0.94,0.91,-0.07,5644,,Confirmed planets
Kepler-346 b,0,,0.24241,6.511127,,,,,,,,,transit,2014,14/02/26,19 12 02,+46 07 03,1384.64,1.02,1.021,,6033,,Confirmed planets
Kepler-346 c,0,,0.27977,23.851549,,,,,,,,,transit,2014,14/02/26,19 12 02,+46 07 03,1384.64,1.02,1.021,,6033,,Confirmed planets
Kepler-323 c,0,,0.14854,3.553822,,,,,,,,,transit,2014,14/02/26,19 25 31,+38 07 38,499.35,1.16,1.178,,5987,,Confirmed planets
Kepler-323 b,0,,0.13032,1.678327,,,,,,,,,transit,2014,14/02/26,19 25 31,+38 07 38,499.35,1.16,1.178,,5987,,Confirmed planets
Kepler-590 b,0,,0.359,5.85296257,,,,,,,,,transit,2016,16/05/10,19 45 33,+48 14 00,,1.1,1.15,0.07,6000,,Confirmed planets
HD 136418 b,0,2,,464.3,1.32,0.255,,,,,357.4,,RV,2010,10/03/19,15 19 07,+41 44 00,98.2,1.33,3.4,-0.07,5071,,Confirmed planets
